,id,alias,name,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state,coordinates,Distrito
0,rQSFuKAyrkZtRRdOnJglJQ,el-sur-madrid,El Sur,False,https://www.yelp.com/biz/el-sur-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,686,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]",4.5,[],2,34915278340.0,+34 915 27 83 40,909.5132289969844,40.4110475,-3.6995454,"Calle de la Torrecilla del Leal, 12",Madrid,28012.0,ES,M,"[-3.6995454, 40.4110475]",Centro
1,BOrDvpojA8U1Z1BBHFY6Fg,takos-al-pastor-madrid,Takos al Pastor,False,https://www.yelp.com/biz/takos-al-pastor-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,378,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,[],1,34680247217.0,+34 680 24 72 17,58.14993246350205,40.4189626550889,-3.70364716931158,"Calle de la Abada, 2",Madrid,28013.0,ES,M,"[-3.70364716931158, 40.4189626550889]",Centro
2,l4Y3Qmb510T_hbGzc3WG5g,carmencita-madrid,Carmencita,False,https://www.yelp.com/biz/carmencita-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,148,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,[],2,34915238073.0,+34 915 23 80 73,893.2795611483955,40.426088,-3.707439,"Calle San Vicente Ferrer, 51",Madrid,28015.0,ES,M,"[-3.707439, 40.426088]",Centro
3,yjGE3mlUOvJfTDZecObTHg,celso-y-manolo-madrid,Celso y Manolo,False,https://www.yelp.com/biz/celso-y-manolo-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,170,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,[],2,34915318079.0,+34 915 31 80 79,580.6864516271376,40.420185,-3.6974769,"Calle de la Libertad, 1",Madrid,28004.0,ES,M,"[-3.6974769, 40.420185]",Centro
4,uHL7ravKYyrTl07fv_hfUg,rosi-la-loca-madrid,Rosi La Loca,False,https://www.yelp.com/biz/rosi-la-loca-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,158,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,[],2,34915326681.0,+34 915 32 66 81,310.32409782832127,40.4158141746249,-3.70297881289753,"Calle de Cádiz, 4",Madrid,28012.0,ES,M,"[-3.70297881289753, 40.4158141746249]",Centro
5,EceWn4T-wrcwwAyzsktHZA,malaspina-madrid,Malaspina,False,https://www.yelp.com/biz/malaspina-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,195,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'tabernas', 'title': 'Tabernas'}]",4.0,[],1,34649357923.0,+34 649 35 79 23,313.51651287622457,40.4158199,-3.70253,"Calle de Cádiz, 9",Madrid,28012.0,ES,M,"[-3.70253, 40.4158199]",Centro
6,c3xXCfI2hWxXxF2Y8UVG2Q,jardín-secreto-madrid-2,Jardín Secreto,False,https://www.yelp.com/biz/jard%C3%ADn-secreto-madrid-2?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,61,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'modern_european', 'title': 'Modern European'}]",4.0,[],2,34915310260.0,+34 915 31 02 60,163.02362395767682,40.419036,-3.702177,"Calle de la Montera, 37",Madrid,28013.0,ES,M,"[-3.702177, 40.419036]",Centro
7,m-suxON2HwsWYImvTNX1Jw,botín-madrid-3,Botín,False,https://www.yelp.com/biz/bot%C3%ADn-madrid-3?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,551,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.0,[],3,34913664217.0,+34 913 66 42 17,586.6209248197405,40.41406,-3.70803,"Calle de Cuchilleros, 17",Madrid,28005.0,ES,M,"[-3.70803, 40.41406]",Centro
8,afcRqfWrcA1soyoNI__FRQ,juana-la-loca-madrid-2,Juana la Loca,False,https://www.yelp.com/biz/juana-la-loca-madrid-2?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,204,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,[],3,34913640525.0,+34 913 64 05 25,997.2714533715172,40.4113584,-3.711094,"Plaza de Puerta de Moros, 4",Madrid,28005.0,ES,M,"[-3.711094, 40.4113584]",Centro
9,h9eayrBj9q1RClB4IOQMTQ,alhambra-madrid-3,Alhambra,False,https://www.yelp.com/biz/alhambra-madrid-3?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,439,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.0,[],2,34915210708.0,+34 915 21 07 08,353.990905456246,40.41587,-3.7016,"Calle de la Victoria, 9",Madrid,28012.0,ES,M,"[-3.7016, 40.41587]",Centro
10,4QwMZ2xsZg3QeliIKztoUw,tinto-y-tapas-madrid,Tinto y Tapas,False,https://www.yelp.com/biz/tinto-y-tapas-madrid?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,147,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tabernas', 'title': 'Tabernas'}]",4.5,[],1,34910711457.0,+34 910 71 14 57,1170.9415956396722,40.4109993,-3.6943901,"Calle de Almadén, 14",Madrid,28014.0,ES,M,"[-3.6943901, 40.4109993]",Centro
11,PMrOdZV2J47wfDr_wi2f4A,la-casa-del-abuelo-madrid-3,La Casa del Abuelo,False,https://www.yelp.com/biz/la-casa-del-abuelo-madrid-3?adjust_creative=qLSGvc-1caRv2M-HS1Kb9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=qLSGvc-1caRv2M-HS1Kb9A,144,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,[],2,34915212319.0,+34 915 21 23 19,363.96856980410655,40.415767,-3.701606,"Calle de la Victoria, 12",Madrid,28012.0,ES,M,"[-3.701606, 40.415767]",Centro
